Product,Quantity,Description,Supplier,Cost (USD),Link
Nema 17,3,,Temu,21.16,https://www.temu.com/au/1pc--17-stepper-stepping--control-2--8-degree-0-9a-0--42mm-with-90cm-lead-cable-3d-printer-cnc-accessory-replacement-g-601100099700138.html?_oak_name_id=2005636212420523728&_oak_mp_inf=EKqLq6%2Bo1ogBGiA1ZDgzOTlmZjVhYTc0YzQ1YWY1NTFmNThiOGFkMTM3ZSCYk7ahvTM%3D&top_gallery_url=https%3A%2F%2Fimg.kwcdn.com%2Fproduct%2Ffancy%2F819a4498-f333-49cc-991d-33619eadab33.jpg&spec_gallery_id=4149872340&refer_page_sn=10009&refer_source=0&freesia_scene=2&_oak_freesia_scene=2&_oak_rec_ext_1=MTA1NQ&_oak_gallery_order=1091145291%2C936476628%2C721162434%2C205066934&search_query=Nema%2017&search_key=Nema%2017&refer_page_el_sn=200049&ab_scene=1&preload_js=1&refer_page_name=search_result&refer_page_id=10009_1768791274153_1kl9xnuxnm&_x_sessn_id=620kilrurv
Arduino Uno,1,,Aliexpress,7.35,https://www.aliexpress.com/item/1005009166789162.html?spm=a2g0o.productlist.main.2.4b48H4BlH4BliQ&algo_pvid=46200a09-2805-4245-ab7e-5dab72879e19&algo_exp_id=46200a09-2805-4245-ab7e-5dab72879e19-1&pdp_ext_f=%7B%22order%22%3A%221541%22%2C%22spu_best_type%22%3A%22order%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%217.52%211.50%21%21%2134.56%216.90%21%40210337c117687914991373901ea6ae%2112000048172545518%21sea%21AU%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6fbdfe4b%3Bm03_new_user%3A-29895%3BpisId%3A5000000197838560&curPageLogUid=tjsaISsRPt8N&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009166789162%7C_p_origin_prod%3A
A4988,3,,Temu,6.04,https://www.temu.com/au/5pcs-a4988-stepper--module-with-heat-sink-compatible-for-3d-printer-cnc-machine-robotics-heavy-duty-stepper-driver-board-low-voltage-operation-36v-compatible-with--for-reprap-no-electronics-board-g-601100190015732.html?_oak_name_id=2537994467185831599&_oak_mp_inf=EPTBs9qo1ogBGiA3OTQ5MDQ3ODYwYTA0NTMxODJjMjA5NGViMTA4YzI1ZSC2jMahvTM%3D&top_gallery_url=https%3A%2F%2Fimg.kwcdn.com%2Fproduct%2Ffancy%2F3baf134c-5f06-4e67-890c-4b2e39b976d7.jpg&spec_gallery_id=4618465222&refer_page_sn=10009&refer_source=0&freesia_scene=2&_oak_freesia_scene=2&_oak_rec_ext_1=OTUx&_oak_gallery_order=1472335960%2C638439335%2C1743083000%2C1908921223%2C321487646&search_query=a4988&search_key=a4988&refer_page_el_sn=200049&ab_scene=1&preload_js=1&_x_sessn_id=620kilrurv&refer_page_name=search_result&refer_page_id=10009_1768791577622_kirl4or9vr
PSU,1,,Aliexpress,19.71,https://www.aliexpress.com/item/1005008333292020.html?spm=a2g0o.productlist.main.11.45ee51f4QrCvyf&algo_pvid=63775553-d9ee-4d24-bace-af7483e89fa0&algo_exp_id=63775553-d9ee-4d24-bace-af7483e89fa0-10&pdp_ext_f=%7B%22order%22%3A%22232%22%2C%22spu_best_type%22%3A%22order%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%2110.45%211.50%21%21%216.90%210.99%21%4021030a6217687917155006121e92c4%2112000044629693574%21sea%21AU%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6fbdfe4b%3Bm03_new_user%3A-29895%3BpisId%3A5000000197838568&curPageLogUid=3XLdhquhUHAm&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008333292020%7C_p_origin_prod%3A
Spindle kit,1,,Aliexpress,57.46,https://www.aliexpress.com/item/1005010191382404.html?spm=a2g0o.productlist.main.6.4a29yvfjyvfj5o&algo_pvid=e9f71b2f-01d3-4cbd-a4a1-c692dc270d89&algo_exp_id=e9f71b2f-01d3-4cbd-a4a1-c692dc270d89-5&pdp_ext_f=%7B%22order%22%3A%228%22%2C%22spu_best_type%22%3A%22order%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%21116.26%2144.06%21%21%21532.55%21201.81%21%40210311a017687919247722144ea0db%2112000051470805283%21sea%21AU%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6fbdfe4b%3Bm03_new_user%3A-29895%3BpisId%3A5000000197838585&curPageLogUid=LtoxsOxznCte&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010191382404%7C_p_origin_prod%3A
Buck converter,1,,Aliexpress,2.75,https://www.aliexpress.com/item/1005007003796615.html?spm=a2g0o.productlist.main.36.ae99239cbbwiFO&aem_p4p_detail=202601212228251698038468878120000824046&algo_pvid=e99e244f-c19e-4cea-b5c9-f24ef3c0b312&algo_exp_id=e99e244f-c19e-4cea-b5c9-f24ef3c0b312-31&pdp_ext_f=%7B%22order%22%3A%2220%22%2C%22spu_best_type%22%3A%22order%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%214.04%214.04%21%21%2118.84%2118.84%21%402103129f17690633055842563e22bb%2112000039018366003%21sea%21AU%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A82e56353%3Bm03_new_user%3A-29895&curPageLogUid=gSlzuXtzWAvK&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007003796615%7C_p_origin_prod%3A&search_p4p_id=202601212228251698038468878120000824046_8
Limit switch,,,,,
Z probe,,,,,
V bit,1,,Aliexpress,8.24,https://www.aliexpress.com/item/33058654975.html?spm=a2g0o.productlist.main.6.7192JBSMJBSM36&algo_pvid=228676f3-47f0-4579-9099-291c638ffaaf&algo_exp_id=228676f3-47f0-4579-9099-291c638ffaaf-5&pdp_ext_f=%7B%22order%22%3A%2262%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%2112.06%211.50%21%21%217.94%210.99%21%40210328c017687923787564500e7cfc%2167467651128%21sea%21AU%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6fbdfe4b%3Bm03_new_user%3A-29895%3BpisId%3A5000000197838599&curPageLogUid=Qey6XFCZCbFq&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A33058654975%7C_p_origin_prod%3A
Collets,1,,Aliexpress,5.89,https://www.aliexpress.com/item/1005007808859713.html?spm=a2g0o.productlist.main.3.149620Ph20PhZy&algo_pvid=7bfb9735-6d17-4af1-91e4-c80ced06bc52&algo_exp_id=7bfb9735-6d17-4af1-91e4-c80ced06bc52-2&pdp_ext_f=%7B%22order%22%3A%22683%22%2C%22spu_best_type%22%3A%22order%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%213.40%211.50%21%21%2115.57%216.85%21%40210328db17687926008791257e8df9%2112000042277498285%21sea%21AU%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6fbdfe4b%3Bm03_new_user%3A-29895&curPageLogUid=pwjcIhmlvNUK&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007808859713%7C_p_origin_prod%3A
Drill bit,1,,Aliexpress,3.09,https://www.aliexpress.com/item/1005004411348630.html?spm=a2g0o.productlist.main.1.4a4d4248WQHUkD&algo_pvid=7521d7be-9262-4628-a5ce-8709a6ad8dcb&algo_exp_id=7521d7be-9262-4628-a5ce-8709a6ad8dcb-0&pdp_ext_f=%7B%22order%22%3A%223004%22%2C%22spu_best_type%22%3A%22order%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%214.25%211.50%21%21%212.80%210.99%21%402101f70717687928215478855ec1ce%2112000034324998573%21sea%21AU%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6fbdfe4b%3Bm03_new_user%3A-29895%3BpisId%3A5000000197838560&curPageLogUid=OUldsYXfEfkz&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005004411348630%7C_p_origin_prod%3A
End mill,1,,Aliexpress,1.88,https://www.aliexpress.com/item/1005003291713022.html?spm=a2g0o.productlist.main.5.40c67cd9FKEwps&algo_pvid=ffc44e5f-10ab-4228-89f1-0c1514aba518&algo_exp_id=ffc44e5f-10ab-4228-89f1-0c1514aba518-4&pdp_ext_f=%7B%22order%22%3A%22134%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%212.81%211.50%21%21%211.85%210.99%21%402101f70717687934652541774ec217%2112000025061075550%21sea%21AU%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6fbdfe4b%3Bm03_new_user%3A-29895%3BpisId%3A5000000197838568&curPageLogUid=ExpGw3ASmdvT&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005003291713022%7C_p_origin_prod%3A
2020 T slot,6,,Temu,26.04,https://www.temu.com/au/6pcs-of-300mm-11-8-inch-t-slot-2020-aluminum-profile-extrusion-european-standard-anodized-linear-guide-rail-aluminum-profile-extrusion-for-3d-printer-parts-cnc-and---g-601100054454009.html?_oak_name_id=3841385943584751144&_oak_mp_inf=EPm94Zmo1ogBGiA5YTk4ZWU3OGM3OTY0MWM2ODI3ZmQ1NTczMDIyYTQyMyD4o%2FedvjM%3D&top_gallery_url=https%3A%2F%2Fimg.kwcdn.com%2Fproduct%2Ffancy%2Fb9554dc4-c406-4045-bbf0-9e8329ad8853.jpg&spec_gallery_id=3974469299&refer_page_sn=10009&refer_source=0&freesia_scene=2&_oak_freesia_scene=2&_oak_rec_ext_1=MzgyOQ&_oak_gallery_order=1760908985%2C583225772%2C559936647%2C1939475971%2C158411322&search_key=2020%20t%20slot%20300mm&refer_page_el_sn=200049&refer_page_name=search_result&refer_page_id=10009_1769052393975_ds9q1zo27d&_x_sessn_id=6a75vwkag1
2060 T slot,1,,Aliexpress,14.02,https://www.aliexpress.com/item/1005002883217574.html?spm=a2g0o.productlist.main.1.1a991515tp9rCA&algo_pvid=10fe93d8-d441-41bc-a57a-9219dfe0ee17&algo_exp_id=10fe93d8-d441-41bc-a57a-9219dfe0ee17-0&pdp_ext_f=%7B%22order%22%3A%228%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%219.09%219.09%21%21%215.98%215.98%21%40210337c117687918065554684ea67a%2112000022606077982%21sea%21AU%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6fbdfe4b%3Bm03_new_user%3A-29895&curPageLogUid=gkx3e2LF0D2x&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005002883217574%7C_p_origin_prod%3A
90 degree bracket,8,,,,
M5 T Nuts,42,,Temu,2.14,https://www.temu.com/au/50pcs-durable-carbon-steel-t-nuts--m4-m5-sizes-nickel-plated-rust-resistant--for-industrial-aluminum-frame--3d-printers-cnc-routers-ideal-for-robotics-projects-g-601099610741631.html?_oak_name_id=3242644805661320194&_oak_mp_inf=EP%2B2l8am1ogBGiBjZWUwM2NjNWQ0NDM0OThkYjMxYTQ3ZWZlMjcxNzQ4OSCAyLCjvjM%3D&top_gallery_url=https%3A%2F%2Fimg.kwcdn.com%2Fproduct%2Ffancy%2Fcf78918e-55d6-494e-9807-b9386b96f793.jpg&spec_gallery_id=2435517451&refer_page_sn=10009&refer_source=0&freesia_scene=2&_oak_freesia_scene=2&_oak_rec_ext_1=MzE0&_oak_gallery_order=1066297022%2C281671077%2C27929717%2C300546578%2C1584708648&search_key=M5%20t%20nut&refer_page_el_sn=200049&refer_page_name=search_result&refer_page_id=10009_1769063186713_ihq7zrqs3h&_x_sessn_id=6a75vwkag1
M3 T nuts,32,,Temu,2.67,https://www.temu.com/au/50pcs-of-2020-series-t-nuts--m4-m5-t-slot-nuts-hammer-fasteners-aluminum-profile-plated-carbon-steel-sliding-t-nuts-g-601099530397912.html?_oak_mp_inf=ENjR75%2Bm1ogBGiBjOTUyZTY5YzBkNWU0MTA5OTVjNDkxZDc5YjZiNDVhMSDe%2F7ujvjM%3D&top_gallery_url=https%3A%2F%2Fimg.kwcdn.com%2Fproduct%2FFancyalgo%2FVirtualModelMatting%2F5b034219d9b1ffecfa8f6f9a2753b516.jpg&spec_gallery_id=2325015677&refer_page_sn=10009&refer_source=0&freesia_scene=2&_oak_freesia_scene=2&_oak_rec_ext_1=Mzc5&_oak_gallery_order=1610140884%2C1914347919%2C1528717658%2C562956837%2C1754453848&search_key=M3%20t%20nut&refer_page_el_sn=200049&refer_page_name=search_result&refer_page_id=10009_1769063186713_ihq7zrqs3h&_x_sessn_id=6a75vwkag1
100mm leadscrew,1,,Aliexpress,3.89,https://www.aliexpress.com/item/1005006178955178.html?spm=a2g0o.productlist.main.3.4fec66f0fprwCF&algo_pvid=47f6e1e3-d535-459b-a3ef-fa32ac3d5765&algo_exp_id=47f6e1e3-d535-459b-a3ef-fa32ac3d5765-2&pdp_ext_f=%7B%22order%22%3A%22121%22%2C%22spu_best_type%22%3A%22order%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%214.42%211.48%21%21%212.96%210.99%21%402101eede17690529291742771e7828%2112000036155784027%21sea%21AU%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A82e56353%3Bm03_new_user%3A-29895%3BpisId%3A5000000197847104&curPageLogUid=c6d8BTDWwVPy&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006178955178%7C_p_origin_prod%3A
300mm leadscrew,2,,Temu,11.34,https://www.temu.com/au/tr8x8-screw-with-t8-nut-trapezoidal-thread-2mm-pitch-4-threads-8mm-suitable-for--axis-of-lcd-dlp-sla-3d-printers-and-cnc-machines-g-601103230620661.html?_oak_mp_inf=EPWno4S01ogBGiA2NjdmMjY0YzY3NjE0NzlkYTA0ODdhM2Y1NzcwMjFmZSC2iZmevjM%3D&top_gallery_url=https%3A%2F%2Fimg.kwcdn.com%2Fproduct%2Ffancy%2F9d3f9ffb-493c-41ff-8bd9-d1e566aaf65f.jpg&spec_gallery_id=17530599497&refer_page_sn=10009&refer_source=0&freesia_scene=2&_oak_freesia_scene=2&_oak_rec_ext_1=MTY2OA&_oak_gallery_order=950137462%2C674228964%2C184410129%2C1556781894%2C1096043850&search_key=300mm%20t8x8%20leadscrew&refer_page_el_sn=200049&refer_page_name=search_result&refer_page_id=10009_1769052585453_yarx44oyzl&_x_sessn_id=6a75vwkag1
300mm leadscrew,1,,Alixpress,6.92,https://www.aliexpress.com/item/1005006178955178.html?spm=a2g0o.productlist.main.3.4fec66f0fprwCF&algo_pvid=47f6e1e3-d535-459b-a3ef-fa32ac3d5765&algo_exp_id=47f6e1e3-d535-459b-a3ef-fa32ac3d5765-2&pdp_ext_f=%7B%22order%22%3A%22121%22%2C%22spu_best_type%22%3A%22order%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%214.42%211.48%21%21%212.96%210.99%21%402101eede17690529291742771e7828%2112000036155784027%21sea%21AU%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A82e56353%3Bm03_new_user%3A-29895%3BpisId%3A5000000197847104&curPageLogUid=c6d8BTDWwVPy&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006178955178%7C_p_origin_prod%3A
300mm Linear rail,4,,Aliexpress,57.75,https://www.aliexpress.com/item/1000007480470.html?spm=a2g0o.productlist.main.4.72ab40d61RJXDP&aem_p4p_detail=202601211941027121660989662600000715091&algo_pvid=5f27209c-5951-4e22-89fe-fd57049adb3b&algo_exp_id=5f27209c-5951-4e22-89fe-fd57049adb3b-3&pdp_ext_f=%7B%22order%22%3A%221696%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%2121.23%211.48%21%21%2114.21%210.99%21%402101e07217690532623008994e8c1e%2112000031932165347%21sea%21AU%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A82e56353%3Bm03_new_user%3A-29895%3BpisId%3A5000000198344600&curPageLogUid=xv41WxawscEY&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1000007480470%7C_p_origin_prod%3A&search_p4p_id=202601211941027121660989662600000715091_1
100mm Linear rail,2,,Aliexpress,17.16,https://www.aliexpress.com/item/1000007480470.html?spm=a2g0o.productlist.main.4.72ab40d61RJXDP&aem_p4p_detail=202601211941027121660989662600000715091&algo_pvid=5f27209c-5951-4e22-89fe-fd57049adb3b&algo_exp_id=5f27209c-5951-4e22-89fe-fd57049adb3b-3&pdp_ext_f=%7B%22order%22%3A%221696%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%2121.23%211.48%21%21%2114.21%210.99%21%402101e07217690532623008994e8c1e%2112000031932165347%21sea%21AU%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A82e56353%3Bm03_new_user%3A-29895%3BpisId%3A5000000198344600&curPageLogUid=xv41WxawscEY&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1000007480470%7C_p_origin_prod%3A&search_p4p_id=202601211941027121660989662600000715091_1
Nut block,4,,Aliexpress,5.88,https://www.aliexpress.com/item/1005007569770523.html?spm=a2g0o.productlist.main.48.376a4e68sTy8Kj&algo_pvid=4e0f1505-a1ef-404d-ae07-56932b8c5baa&algo_exp_id=4e0f1505-a1ef-404d-ae07-56932b8c5baa-45&pdp_ext_f=%7B%22order%22%3A%2224%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%218.65%211.48%21%21%2140.28%216.88%21%40210325a917690643199775159eb746%2112000041334627535%21sea%21AU%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A82e56353%3Bm03_new_user%3A-29895%3BpisId%3A5000000197847104&curPageLogUid=jOi7LGcCxd76&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007569770523%7C_p_origin_prod%3A
Shaft coupler,2,,Aliexpress,4.13,https://www.aliexpress.com/item/1005007287308755.html?spm=a2g0o.productlist.main.6.7aa06fe0Qi6WRI&algo_pvid=2ac3a753-f98c-4901-9661-33ddf7e45023&algo_exp_id=2ac3a753-f98c-4901-9661-33ddf7e45023-5&pdp_ext_f=%7B%22order%22%3A%2226%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%213.13%211.48%21%21%2114.60%216.92%21%40210337c117690641949358837e3f6a%2112000040074981896%21sea%21AU%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A82e56353%3Bm03_new_user%3A-29895%3BpisId%3A5000000197847104&curPageLogUid=RoRBVjjHc6Wq&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007287308755%7C_p_origin_prod%3A
5mm Bore GT2 Drive gear,1,,Aliexpress,1.34,https://www.aliexpress.com/item/32781681772.html?spm=a2g0o.productlist.main.1.68fc2afewa0pz0&algo_pvid=f292eac6-ff6d-4dc4-8b37-3fc6d25f680e&algo_exp_id=f292eac6-ff6d-4dc4-8b37-3fc6d25f680e-0&pdp_ext_f=%7B%22order%22%3A%22898%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%211.97%211.48%21%21%211.32%210.99%21%402101eede17690646160854364e782a%2166985020230%21sea%21AU%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A82e56353%3Bm03_new_user%3A-29895%3BpisId%3A5000000197847079&curPageLogUid=3ezKj0Eq3S47&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A32781681772%7C_p_origin_prod%3A
8mm bore GT2 drive gear,2,,Aliexpress,1.3,https://www.aliexpress.com/item/32781681772.html?spm=a2g0o.productlist.main.1.68fc2afewa0pz0&algo_pvid=f292eac6-ff6d-4dc4-8b37-3fc6d25f680e&algo_exp_id=f292eac6-ff6d-4dc4-8b37-3fc6d25f680e-0&pdp_ext_f=%7B%22order%22%3A%22898%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%211.97%211.48%21%21%211.32%210.99%21%402101eede17690646160854364e782a%2166985020230%21sea%21AU%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A82e56353%3Bm03_new_user%3A-29895%3BpisId%3A5000000197847079&curPageLogUid=3ezKj0Eq3S47&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A32781681772%7C_p_origin_prod%3A
GT2 belt,1,,Aliexpress,1.84,https://www.aliexpress.com/item/1005003301991078.html?spm=a2g0o.productlist.main.19.1c592901f6qqPG&algo_pvid=fa811a3a-f7a0-4570-bfef-c3bcd5192f62&algo_exp_id=fa811a3a-f7a0-4570-bfef-c3bcd5192f62-18&pdp_ext_f=%7B%22order%22%3A%2266%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%213.39%211.48%21%21%212.27%210.99%21%40210328c017690649280578441efa9f%2112000025102455830%21sea%21AU%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A82e56353%3Bm03_new_user%3A-29895%3BpisId%3A5000000197847136&curPageLogUid=Z2PgWSwreJ6X&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005003301991078%7C_p_origin_prod%3A
Gt2 idle pulleys,4,"2 with teeth, 2 without",Aliexpress,4.83,https://www.aliexpress.com/item/32817328238.html?spm=a2g0o.productlist.main.5.59e57074c5YB2k&algo_pvid=913399c5-03c6-4983-8703-109c69e2fdc1&algo_exp_id=913399c5-03c6-4983-8703-109c69e2fdc1-4&pdp_ext_f=%7B%22order%22%3A%221334%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%211.85%211.48%21%21%211.24%210.99%21%402101e2b417690649952696087ea13c%2112000030774036542%21sea%21AU%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A82e56353%3Bm03_new_user%3A-29895%3BpisId%3A5000000197847104&curPageLogUid=Ry0fcXbuAR7Z&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A32817328238%7C_p_origin_prod%3A
Leadscrew fixing block,4,,Aliexpress,7.4,https://www.aliexpress.com/item/1005009834401051.html?spm=a2g0o.productlist.main.1.73535fbasW92ug&algo_pvid=a7120351-d7e0-4b34-a223-e5e5149888ba&algo_exp_id=a7120351-d7e0-4b34-a223-e5e5149888ba-0&pdp_ext_f=%7B%22order%22%3A%2214%22%2C%22spu_best_type%22%3A%22order%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%213.54%213.54%21%21%212.37%212.37%21%402101e62517690651459603041ea133%2112000050313674344%21sea%21AU%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A82e56353%3Bm03_new_user%3A-29895&curPageLogUid=naPMBq5fiutL&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009834401051%7C_p_origin_prod%3A
Bearing,1,,Aliexpress,3.56,https://www.aliexpress.com/item/1005004937963687.html?spm=a2g0o.productlist.main.12.7d5f3cecMgUbAg&aem_p4p_detail=2026012123002519027887180929090000756995&algo_pvid=19e70c5e-2512-4f09-8e58-43645e6f5713&algo_exp_id=19e70c5e-2512-4f09-8e58-43645e6f5713-11&pdp_ext_f=%7B%22order%22%3A%2245%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%215.20%211.48%21%21%213.48%210.99%21%402103274e17690652258756343e11e7%2112000051186766026%21sea%21AU%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A82e56353%3Bm03_new_user%3A-29895%3BpisId%3A5000000197847104&curPageLogUid=k503JPjwGYyO&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005004937963687%7C_p_origin_prod%3A&search_p4p_id=2026012123002519027887180929090000756995_3
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,305.78,